,Weeknum,Total GMV,Total Purchased GMV,Manual GMV Purchases,Partner GMV Purchases,% Manual,% Partner,Total Creators,Creators joining Last 7 Days,Creators joining Last 30 Days,Aggregate Wishlist Items Value,Wishlist Manual Items Value,Wishlist Partner Items Value,% Manual,% Partner,% Wishlist Conversion,I,#,Top 25 Creators by GMV,0,Total Creator GMV,% of Total GMV by Creator,Weekly GMV Change,Weekly GMV % Change,Top 10 Creators by GMV Increases,I,#,Top 25 Non-Partner Items by GMV,GMV,Change in GMV,Change as a %,Change in Quantity,Change as a %,,#,Top 25 Partner Items by GMV,GMV,Change in GMV,Change as a %,Change in Quantity,Change as a %
Week 8,8," $3,028,823.96 "," $2,913,562.43 "," $2,844,560.39 "," $69,002.04 ",97.6%,2.4%," 29,155 "," 1,140 "," 5,888 "," $19,320,210.59 "," $13,920,402.07 "," $5,399,808.52 ",72.1%,27.9%,29.3%,I,1,Lily Olsen,2," $34,954.46 ",0.9%, $-   ,0.0%,LATEXnCHILL : $1067.9,I,1,"Elgato Stream Deck - Live Content Creation Controller with 15 Customizable LCD Keys, Adjustable Stand, for Windows 10 and macOS 10.13 or Late (10GAA9901)",25702.2864,2864.7808,0.125441931,8,0.055172414,,1,Free Space XLR Binaural Microphone,7139,1298,0.222222222,2,0.222222222
Week 9,9," $3,208,892.36 "," $3,089,735.98 "," $3,003,226.70 "," $86,509.28 ",97.2%,2.8%," 30,461 ", 985 ," 5,493 "," $20,195,473.30 "," $14,637,848.95 "," $5,557,624.35 ",72.5%,27.5%,29.4%,I,2,Scarletta,3," $23,153.63 ",0.6%, $615.34 ,2.7%,Lilitu : $617.51,I,2,DoorDash Gift Card,8680,4900.1008,1.296357532,5,0.033333333,,2,OCULUS QUEST 2 - VR Headset - 128GB R,4549.87,0,0,0,0
Week 10,10," $3,402,387.70 "," $3,279,718.08 "," $3,185,151.83 "," $94,566.25 ",97.1%,2.9%," 31,490 ", 632 ," 4,891 "," $19,320,210.59 "," $13,920,402.07 "," $5,399,808.52 ",72.1%,27.9%,29.3%,I,3,Goddess Sophia,4," $21,461.95 ",0.6%, $-   ,0.0%,Scarletta : $615.34,I,3,"Elgato Stream Deck XL - Advanced Stream Control with 32 Customizable LCD Keys, for Windows 10 and macOS 10.13 or Later (10GAT9901)",8119.6752,-560.3248,-0.064553548,2,0.074074074,,3,Snorlax Plushie (6 SIZES) by Subtle Asian Treats,2519.37,-960.05,-0.275922424,5,0.086206897
Week 11,11," $3,542,935.46 "," $3,422,755.87 "," $3,317,442.65 "," $105,313.22 ",96.9%,3.1%," 33,085 ", 913 ," 4,807 "," $20,915,814.52 "," $14,662,415.90 "," $6,253,398.62 ",70.1%,29.9%,29.8%,I,4,Momoka,5," $15,436.75 ",0.4%, $-   ,0.0%,Annika Scott : $583.83,I,4,TC-Helicon Vocal Effects Processor (GOXLR),7378.56,-741.1152,-0.091273996,1,0.090909091,,4,ViralColor Wall Lights by Viral Lights,2249.25,-710.01,-0.239928225,1,0.013513514
Week 12,12," $3,711,812.21 "," $3,586,009.80 "," $3,468,235.78 "," $117,774.02 ",96.7%,3.3%," 34,282 ", 618 ," 4,413 "," $21,768,938.35 "," $15,237,439.00 "," $6,531,499.35 ",70.0%,30.0%,30.0%,I,5,Elle,6," $13,745.98 ",0.4%, $617.51 ,4.7%,Becca Jones  : $551.19,I,5,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 128 GB,6362.72,0,0,2,0.117647059,,5,DESKTOP CYBERPOWERPC GM60900 R,2092.99,0,0,0,0
Week 13,13, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,6,Lilitu,7," $13,109.81 ",0.4%, $345.77 ,2.7%,shxtou : $519.71,I,6,Free Space Binaural Microphone,6256.32,209.328,0.034616881,3,0.272727273,,6,Blue Yeti USB Microphone - Silver,1917.86,273.98,0.166666667,2,0.166666667
Week 14,14, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,7,COQUI,8," $12,780.79 ",0.3%," $1,067.90 ",9.1%,Sarah : $460.66,I,7,Pokémon Legends: Arceus - Nintendo Switch,6046.992,-1331.568,-0.180464481,3,0.034482759,,7,"Photography Studio Lighting Kit, 800W 5500K Umbrella Softbox Continuous Light Kit",1791.86,511.96,0.4,4,0.4
Week 15,15, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,8,Jasi ,9," $11,966.56 ",0.3%, $397.85 ,3.4%,Em_xlou : $410.74,I,8,16-inch MacBook Pro - Space Grey,5427.1728,-829.1472,-0.132529538,0,0,,8,"Derpy Plush Pillows (10 VARIANTS, 3 SIZES) by Subtle Asian Treats",1199.84,149.98,0.142857143,2,0.142857143
Week 16,16, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,9,LATEXnCHILL,10," $11,958.61 ",0.3%, $400.50 ,3.5%,Jasi  : $400.5,I,9,Oculus Quest 128GB,5039.832,0,0,1,0.071428571,,9,Squinty Cat Plushie (2 COLORS) by Subtle Asian Treats,1039.74,159.96,0.181818182,4,0.181818182
Week 17,17, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,10,Lord Maria,11," $11,519.27 ",0.3%, $265.84 ,2.4%,Elle : $397.85,I,10,Nintendo Switch,5023.2,0,0,1,0.071428571,,10,Heart Roses by BloomsyBox,979.86,0,0,0,0
Week 18,18, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,11,Becca Jones ,12," $11,504.72 ",0.3%, $551.19 ,5.0%,0,I,11,le 5 à 7 hobo bag in patent leather | Saint Laurent __locale_country__ | YSL.com,4816,-611.1728,-0.112613477,0,0,,11,Crystal Projection Light Decor by Karma Kiss,952,68,0.076923077,4,0.076923077
Week 19,19, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,12,Princess Chelsea ,13," $11,253.43 ",0.3%, $410.74 ,3.8%,0,I,12,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),3779.8992,112.56,0.030692552,0,0,,12,"Isopod Plushie (2 COLORS, 2 SIZES) by Subtle Asian Treats",919.77,199.95,0.277777778,5,0.277777778
Week 20,20, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,13,Em_xlou,14," $10,969.84 ",0.3%, $390.47 ,3.7%,0,I,13,Prada Re-Edition 2005 Re-Nylon bag,3716.16,141.12,0.039473684,0,0,,13,Kawaii Cushion Pads Series (23 VARIANTS) by Subtle Asian Treats,879.78,79.98,0.1,2,0.1
Week 21,21, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,14,K B,15," $10,579.36 ",0.3%, $213.42 ,2.1%,0,I,14,Streaming Pro PC,3667.3392,New Entry,New Entry,New Entry,New Entry,,14,LG 50NANO80UPA 80 Series NanoCell 50 4K 60Hz LED TV 2021,861.99,0,0,0,0
Week 22,22, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,15,Hang Time's Dream Studio,16," $10,215.88 ",0.3%, $-   ,0.0%,0,I,15,3Dio FS (FS-2W-001),3575.04,73.8864,0.021103444,0,0,,15,Cougar Armor S (Black) Luxury Gaming Chair with Breathable Premium PVC Leather and Body-embracing High Back Design,809.97,269.99,0.5,1,0.5
Week 23,23, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,16,Sarah,17," $9,576.06 ",0.3%, $-24.84 ,-0.3%,0,I,16,Valve Index VR Kit on Steam,3501.1536,7.0448,0.002016194,0,0,,16,Multitasking Foldable Ring Light (3 Phone Holders) by Multitasky,750,0,0,0,0
Week 24,24, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,17,Maya,18," $9,562.06 ",0.3%, $-   ,0.0%,0,I,17,Apple Airpods 2nd Gen,3494.1088,134.1088,0.039913333,1,0.04,,17,Cat Condo Climbing Cat Tree with Cat Hammock by Estilo Living,719.8,0,0,0,0
Week 25,25, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,18,Villainess Ren,19," $9,317.44 ",0.3%, $-119.14 ,-1.3%,0,I,18,Online Gift Voucher,3360,New Entry,New Entry,New Entry,New Entry,,18,"Gaming Desk (with 1*Headphone Holder,1*Cup Holder,1*Plug Board holder,1*Game Handles Holder) YF",717.68,0,0,0,0
Week 26,26, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,19,JAZ,20," $9,282.05 ",0.3%, $-35.39 ,-0.4%,0,I,19,Sony FE 12-24mm F2.8 G Master Full-Frame Constant-Aperture Ultra-Wide Zoom Lens (SEL1224GM),3357.76,0,0,0,0,,19,Red Rose Bouquet by BloomsyBox,714.89,0,0,0,0
Week 27,27, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,20,Miss Melody May,21," $9,169.30 ",0.2%, $200.30 ,2.2%,0,I,20,"Shure SM7B Vocal Dynamic Microphone for Broadcast, Podcast Recording, XLR Studio Mic for Music Speech, Wide-Range Frequency, Warm Smooth Sound, Rugged Construction, Detachable Windscreen - Black",3216.64,0,0,0,0,,20,"Giant Erect D Pillows (8 VARIANTS, 4 SIZES) by Subtle Asian Treats",639.84,79.98,0.142857143,2,0.142857143
Week 28,28, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,21,Vesper,22," $9,163.74 ",0.2%, $460.66 ,5.3%,0,I,21,Nintendo Switch – OLED Model w/ White Joy-Con,3127.04,13.44,0.004316547,0,0,,21,Satisfyer Pro 2 Next Generation by TemptingTeaserz LLC,631.92,78.99,0.142857143,1,0.142857143
Week 29,29, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,22,UNREALGRL,23," $8,905.54 ",0.2%, $211.60 ,2.4%,0,I,22,Lovense Lush 3 App Controlled Rechargeable Love Egg Vibrator,3113.6,78.4,0.025830258,0,0,,22,LED Light Tripod Ring Light (26cm) with 50-160cm Tripod,629.82,34.99,0.058823529,1,0.058823529
Week 30,30, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,23,Jessica,24," $8,693.94 ",0.2%, $47.82 ,0.6%,0,I,23,Louis Vuitton Speedy 25,3035.2,New Entry,New Entry,New Entry,New Entry,,23,Fishy Naughty Neko Hoodie ?????? by Kokoro,584.91,New Entry,New Entry,New Entry,New Entry
Week 31,31, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,24,Lucie,25," $8,621.71 ",0.2%, $102.81 ,1.2%,0,I,24,Lambskin Quilted Mini Chain Belt Bag Black,3018.4,0,0,0,0,,24,LED Light Tape by Viral Lights,575.68,New Entry,New Entry,New Entry,New Entry
Week 32,32, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,25,Goddess Heather ,26," $8,561.09 ",0.2%, $66.28 ,0.8%,0,I,25,Mario Party Superstars - Nintendo Switch,3011.4,New Entry,New Entry,New Entry,New Entry,,25,Boba Plushie XL ? by Subtle Asian Treats,574.77,24.99,0.045454545,1,0.045454545
Week 33,33, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 34,34, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 35,35, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 36,36, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 37,37, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 38,38, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 39,39, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 40,40, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 41,41, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 42,42, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 43,43, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 44,44, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 45,45, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 46,46, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 47,47, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 48,48, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 49,49, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 50,50, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 51,51, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 52,52, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,,,,,,
,Reference:,j1,n4,n2,n3,,,j2,j6,j5,ac4,ac2,ac3,,,ac7,,,,,,,,,,,,,,,,,,,,,,,,,
